title,price,rating
It's Only the Himalayas,Â£45.17,Two
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Â£49.43,Four
See America: A Celebration of Our National Parks & Treasured Sites,Â£48.87,Three
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Â£36.94,Two
Under the Tuscan Sun,Â£37.33,Three
A Summer In Europe,Â£44.34,Two
The Great Railway Bazaar,Â£30.54,One
A Year in Provence (Provence #1),Â£56.88,Four
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Â£23.21,One
Neither Here nor There: Travels in Europe,Â£38.95,Three
"1,000 Places to See Before You Die",Â£26.08,Five
Sharp Objects,Â£47.82,Four
"In a Dark, Dark Wood",Â£19.63,One
The Past Never Ends,Â£56.50,Four
A Murder in Time,Â£16.64,One
The Murder of Roger Ackroyd (Hercule Poirot #4),Â£44.10,Four
The Last Mile (Amos Decker #2),Â£54.21,Two
That Darkness (Gardiner and Renner #1),Â£13.92,One
Tastes Like Fear (DI Marnie Rome #3),Â£10.69,One
A Time of Torment (Charlie Parker #14),Â£48.35,Five
A Study in Scarlet (Sherlock Holmes #1),Â£16.73,Two
Poisonous (Max Revere Novels #3),Â£26.80,Three
Murder at the 42nd Street Library (Raymond Ambler #1),Â£54.36,Four
Most Wanted,Â£35.28,Three
Hide Away (Eve Duncan #20),Â£11.84,One
Boar Island (Anna Pigeon #19),Â£59.48,Three
The Widow,Â£27.26,Two
Playing with Fire,Â£13.71,Three
What Happened on Beale Street (Secrets of the South Mysteries #2),Â£25.37,Five
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Â£52.30,Five
Delivering the Truth (Quaker Midwife Mystery #1),Â£20.89,Four
It's Only the Himalayas,Â£45.17,Two
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Â£49.43,Four
See America: A Celebration of Our National Parks & Treasured Sites,Â£48.87,Three
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Â£36.94,Two
Under the Tuscan Sun,Â£37.33,Three
A Summer In Europe,Â£44.34,Two
The Great Railway Bazaar,Â£30.54,One
A Year in Provence (Provence #1),Â£56.88,Four
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Â£23.21,One
Neither Here nor There: Travels in Europe,Â£38.95,Three
"1,000 Places to See Before You Die",Â£26.08,Five
Sharp Objects,Â£47.82,Four
"In a Dark, Dark Wood",Â£19.63,One
The Past Never Ends,Â£56.50,Four
A Murder in Time,Â£16.64,One
The Murder of Roger Ackroyd (Hercule Poirot #4),Â£44.10,Four
The Last Mile (Amos Decker #2),Â£54.21,Two
That Darkness (Gardiner and Renner #1),Â£13.92,One
Tastes Like Fear (DI Marnie Rome #3),Â£10.69,One
A Time of Torment (Charlie Parker #14),Â£48.35,Five
A Study in Scarlet (Sherlock Holmes #1),Â£16.73,Two
Poisonous (Max Revere Novels #3),Â£26.80,Three
Murder at the 42nd Street Library (Raymond Ambler #1),Â£54.36,Four
Most Wanted,Â£35.28,Three
Hide Away (Eve Duncan #20),Â£11.84,One
Boar Island (Anna Pigeon #19),Â£59.48,Three
The Widow,Â£27.26,Two
Playing with Fire,Â£13.71,Three
What Happened on Beale Street (Secrets of the South Mysteries #2),Â£25.37,Five
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Â£52.30,Five
Delivering the Truth (Quaker Midwife Mystery #1),Â£20.89,Four
20,前,"う(む)、, お(う)、, は(える)、",zenゼンmaeまえin front before21生sei shouセイ、 ショウi(kiru) u(mu) o(u) ha(eru) namaい(きる)、 なまlife genuine birt
21,生,"う(む)、, お(う)、, は(える)、",sei shouセイ、 ショウi(kiru) u(mu) o(u) ha(eru) namaい(きる)、 なまlife genuine birth22五goゴitsu(tsu)いつ(つ)five 52
22,五,"ま、, ショウ、, うわ-、",goゴitsu(tsu)いつ(つ)five 523間kan kenカン、 ケンaida ma aiあいだ、 あいinterval space24上jou shou shanジョウ、 シャンue uwa
23,間,"ま、, ショウ、, うわ-、",kan kenカン、 ケンaida ma aiあいだ、 あいinterval space24上jou shou shanジョウ、 シャンue uwa kami a(geru) nobo(ru) tat
24,上,"ショウ、, うわ-、, かみ、",jou shou shanジョウ、 シャンue uwa kami a(geru) nobo(ru) tatematsu(ru)うえ、 たてまつ(る)above up25東touトウhigashiひがし
25,東,"コン、, かな-、, ス、",touトウhigashiひがしeast26四shiシyo(tsu) yonよ(つ)、 よんfour 427今kon kinコン、 キンimaいまnow; the present28金kin kon g
26,四,"コン、, かな-、, ス、",shiシyo(tsu) yonよ(つ)、 よんfour 427今kon kinコン、 キンimaいまnow; the present28金kin kon gonキン、 ゴンkane kana gane
27,今,"コン、, かな-、, ス、",kon kinコン、 キンimaいまnow; the present28金kin kon gonキン、 ゴンkane kana ganeかね、 -がねgold29九kyuu kuキュウ、 クkokon
28,金,"コン、, かな-、, ス、",kin kon gonキン、 ゴンkane kana ganeかね、 -がねgold29九kyuu kuキュウ、 クkokono(tsu)ここの(つ)nine 930入nyuuニュウi(ru) hai
29,九,"ス、, ほか、, はず(す)、",kyuu kuキュウ、 クkokono(tsu)ここの(つ)nine 930入nyuuニュウi(ru) hai(ru)い(る)、はい(る)enter insert31学gakuガクmana(bu)まな
30,入,"ス、, ほか、, はず(す)、",nyuuニュウi(ru) hai(ru)い(る)、はい(る)enter insert31学gakuガクmana(bu)まな(ぶ)study learning science32高kouコウtaka(i
30,入,"ス、, ほか、, はず(す)、",nyuuニュウi(ru) hai(ru)い(る)、はい(る)enter insert31学gakuガクmana(bu)まな(ぶ)study learning science32高kouコウtaka(i
31,学,"ス、, ほか、, はず(す)、",gakuガクmana(bu)まな(ぶ)study learning science32高kouコウtaka(i)たか(い)tall high expensive33円enエンmaru(i)まる(い)c
32,高,"ス、, ほか、, はず(す)、",kouコウtaka(i)たか(い)tall high expensive33円enエンmaru(i)まる(い)circle yen round34子shi su tsuシ、 ツko neこ、 ねchi
33,円,"ス、, ほか、, はず(す)、",enエンmaru(i)まる(い)circle yen round34子shi su tsuシ、 ツko neこ、 ねchild35外gai geガイ、 ゲsoto hoka hazu- to-そと、 
34,子,"ス、, ほか、, はず(す)、",shi su tsuシ、 ツko neこ、 ねchild35外gai geガイ、 ゲsoto hoka hazu- to-そと、 と-outside36八hachiハチya(tsu) youや(つ)、
35,外,"ほか、, はず(す)、, しも、",gai geガイ、 ゲsoto hoka hazu- to-そと、 と-outside36八hachiハチya(tsu) youや(つ)、 ようeight 837六rokuロクmu(tsu) muiむ
36,八,"しも、, もと、, さ(げる)、",hachiハチya(tsu) youや(つ)、 ようeight 837六rokuロクmu(tsu) muiむ(つ)、 むいsix 638下ka geカ、 ゲshita shimo moto sa(ge
37,六,"しも、, もと、, さ(げる)、",rokuロクmu(tsu) muiむ(つ)、 むいsix 638下ka geカ、 ゲshita shimo moto sa(geru) kuda(ru) o(rosu)した、 お(ろす)below d
38,下,"しも、, もと、, さ(げる)、",ka geカ、 ゲshita shimo moto sa(geru) kuda(ru) o(rosu)した、 お(ろす)below down descend give low inferior39来r
39,来,"きた.る、, き、, こ-、",rai taiライ、 タイkuru kitaru ki koく.る、 こcome due next cause become40気ki keキ、 ケikiいきspirit mind air atmos
40,気,"こ-、, お-、, た(べる)、",ki keキ、 ケikiいきspirit mind air atmosphere mood41小shouショウchii(sai) ko- o- sa-ちい(さい)、 さ-little small42七
41,小,"こ-、, お-、, た(べる)、",shouショウchii(sai) ko- o- sa-ちい(さい)、 さ-little small42七shichiシチnana(tsu) nanoなな(つ)、 なのseven 743山san sen
42,七,"た(べる)、, 10, -び、",shichiシチnana(tsu) nanoなな(つ)、 なのseven 743山san senサン、 センyamaやまmountain44話waワhana(su) hanashiはな(す)、 はなし
43,山,"た(べる)、, 10, -び、",san senサン、 センyamaやまmountain44話waワhana(su) hanashiはな(す)、 はなしtale talk45女joジョonnna meおんな、 めwoman femal
44,話,"た(べる)、, 10, -び、",waワhana(su) hanashiはな(す)、 はなしtale talk45女joジョonnna meおんな、 めwoman female46北hokuホクkitaきたnorth47午goゴuma
45,女,"た(べる)、, 10, -び、",joジョonnna meおんな、 めwoman female46北hokuホクkitaきたnorth47午goゴumaうまnoon sign of the horse48百hyaku byakuヒャク
46,北,"た(べる)、, 10, -び、",hokuホクkitaきたnorth47午goゴumaうまnoon sign of the horse48百hyaku byakuヒャク、 ビャクmomoももhundred49書shoショkakuか(く
47,午,"た(べる)、, 10, -び、",goゴumaうまnoon sign of the horse48百hyaku byakuヒャク、 ビャクmomoももhundred49書shoショkakuか(く)write50先senセンsaki m
48,百,"た(べる)、, 10, -び、",hyaku byakuヒャク、 ビャクmomoももhundred49書shoショkakuか(く)write50先senセンsaki ma(zu)さき、 ま(ず)before ahead previou
49,書,"た(べる)、, 10, -び、",shoショkakuか(く)write50先senセンsaki ma(zu)さき、 ま(ず)before ahead previous future precedence51名mei myouメイ、 ミ
50,先,"た(べる)、, 10, -び、",senセンsaki ma(zu)さき、 ま(ず)before ahead previous future precedence51名mei myouメイ、 ミョウnaなname noted disti
51,名,"た(べる)、, 10, -び、",mei myouメイ、 ミョウnaなname noted distinguished reputation52川senセンkawaかわriver stream53千senセンchiちthousand5
52,川,"た(べる)、, 10, -び、",senセンkawaかわriver stream53千senセンchiちthousand54水suiスイmizuみずwater55半hanハンnaka(ba)なか(ば)half middle odd n
53,千,"た(べる)、, 10, -び、",senセンchiちthousand54水suiスイmizuみずwater55半hanハンnaka(ba)なか(ば)half middle odd number semi-56男dan nanダン、 ナ
54,水,"た(べる)、, 10, -び、",suiスイmizuみずwater55半hanハンnaka(ba)なか(ば)half middle odd number semi-56男dan nanダン、 ナンotoko oおとこ、 おmale; 
55,半,"た(べる)、, 10, -び、",hanハンnaka(ba)なか(ば)half middle odd number semi-56男dan nanダン、 ナンotoko oおとこ、 おmale; man57西sei saiセイ、 サイ
56,男,"た(べる)、, 10, -び、",dan nanダン、 ナンotoko oおとこ、 おmale; man57西sei saiセイ、 サイnishiにしwest58電denデンelectricity; electric powered5
57,西,"た(べる)、, 10, -び、",sei saiセイ、 サイnishiにしwest58電denデンelectricity; electric powered59校kouコウschool exam60語goゴkata(ru)かた(る)w
58,電,"た(べる)、, 10, -び、",denデンelectricity; electric powered59校kouコウschool exam60語goゴkata(ru)かた(る)word speech language61土do to
59,校,"た(べる)、, 10, -び、",kouコウschool exam60語goゴkata(ru)かた(る)word speech language61土do toド、 トtsuchiつちsoil earth ground62木boku 
60,語,"た(べる)、, 10, -び、",goゴkata(ru)かた(る)word speech language61土do toド、 トtsuchiつちsoil earth ground62木boku mokuボク、 モクki koき、 こ
60,語,"た(べる)、, 10, -び、",goゴkata(ru)かた(る)word speech language61土do toド、 トtsuchiつちsoil earth ground62木boku mokuボク、 モクki koき、 こ
61,土,"た(べる)、, 10, -び、",do toド、 トtsuchiつちsoil earth ground62木boku mokuボク、 モクki koき、 こ-tree wood63聞bun monブン、 モンki(ku)き(く)to 
62,木,"た(べる)、, 10, -び、",boku mokuボク、 モクki koき、 こ-tree wood63聞bun monブン、 モンki(ku)き(く)to hear; to listen; to ask64食shoku jikiシ
63,聞,"た(べる)、, 10, -び、",bun monブン、 モンki(ku)き(く)to hear; to listen; to ask64食shoku jikiショク、 ジキk(u) ta(beru) ha(mu)く(う)、 は(む)e
64,食,"た(べる)、, 10, -び、",shoku jikiショク、 ジキk(u) ta(beru) ha(mu)く(う)、 は(む)eat food65車shaシャkurumaくるまcar wheel66何kaカnani nanなに、 な
65,車,"10, -び、, トク、",shaシャkurumaくるまcar wheel66何kaカnani nanなに、 なんwhat67南nan naナン、 ナminamiみなみsouth68万man banマン、 バンten thous
66,何,"10, -び、, トク、",kaカnani nanなに、 なんwhat67南nan naナン、 ナminamiみなみsouth68万man banマン、 バンten thousand 00069毎maiマイgoto(ni)ごと(
67,南,"10, -び、, トク、",nan naナン、 ナminamiみなみsouth68万man banマン、 バンten thousand 00069毎maiマイgoto(ni)ごと(に)every70白haku byakuハク、 
68,万,"10, -び、, トク、",man banマン、 バンten thousand 00069毎maiマイgoto(ni)ごと(に)every70白haku byakuハク、 ビャクshiro(i)しろ(い)white71天tenテ
69,毎,"-び、, トク、, -び、",maiマイgoto(ni)ごと(に)every70白haku byakuハク、 ビャクshiro(i)しろ(い)white71天tenテンamatsuあまつheavens sky imperial72
70,白,"-び、, トク、, -び、",haku byakuハク、 ビャクshiro(i)しろ(い)white71天tenテンamatsuあまつheavens sky imperial72母boボhaha kaaはは、 かあmother73
71,天,"-び、, トク、, -び、",tenテンamatsuあまつheavens sky imperial72母boボhaha kaaはは、 かあmother73火kaカhi bi hoひ、 ほ-fire74右u yuuウ、 ユウmigi
72,母,"-び、, トク、, -び、",boボhaha kaaはは、 かあmother73火kaカhi bi hoひ、 ほ-fire74右u yuuウ、 ユウmigiみぎright (direction)75読doku toku touドク
73,火,"-び、, トク、, -び、",kaカhi bi hoひ、 ほ-fire74右u yuuウ、 ユウmigiみぎright (direction)75読doku toku touドク、 トウyo(mu)よ(む)to read76友yu
74,右,"トク、, トク、, トク、",u yuuウ、 ユウmigiみぎright (direction)75読doku toku touドク、 トウyo(mu)よ(む)to read76友yuuユウtomoともfriend77左sa sh
75,読,"トク、, トク、, トク、",doku toku touドク、 トウyo(mu)よ(む)to read76友yuuユウtomoともfriend77左sa shaサ、 シャhidariひだりleft78休kyuuキュウyasu(mu
76,友,N/A,yuuユウtomoともfriend77左sa shaサ、 シャhidariひだりleft78休kyuuキュウyasu(mu)やす(む)rest day off retire sleep79父fuフch
77,左,N/A,sa shaサ、 シャhidariひだりleft78休kyuuキュウyasu(mu)やす(む)rest day off retire sleep79父fuフchichi touちち、 とうfather
78,休,N/A,kyuuキュウyasu(mu)やす(む)rest day off retire sleep79父fuフchichi touちち、 とうfather80雨uウame amaあめ、 あまrain 休kyu
79,父,N/A,fuフchichi touちち、 とうfather80雨uウame amaあめ、 あまrain 父fuフchichi touちち、 とうfather80雨uウame amaあめ、 あまrain fuフ
80,雨,N/A,uウame amaあめ、 あまrain 雨uウame amaあめ、 あまrain uウame amaあめ、 あまrain ame amaあめ、 あまrain rain
1,会,"ケイ、, や、, ク、",kaiカイa(u)あ(う)meeting; meet2同douドウonajiおな(じ)same agree equal3事jiジkotoことmatter thing fact business rea
2,同,"ケイ、, や、, ク、",douドウonajiおな(じ)same agree equal3事jiジkotoことmatter thing fact business reason possibly4自ji shiジ、 シmizu
3,事,"ケイ、, や、, ク、",jiジkotoことmatter thing fact business reason possibly4自ji shiジ、 シmizuka(ra)みずか(ら)oneself5社shaシャyashiro
4,自,"ケイ、, や、, ク、",ji shiジ、 シmizuka(ra)みずか(ら)oneself5社shaシャyashiroやしろcompany firm office association shrine6発hatsu hots
5,社,"ケイ、, や、, ク、",shaシャyashiroやしろcompany firm office association shrine6発hatsu hotsuハツ、 ホツdeparture discharge emit sta
6,発,"ケイ、, や、, ク、",hatsu hotsuハツ、 ホツdeparture discharge emit start from7者shaシャmonoものsomeone person8地chi jiチ、 ジground ea
7,者,"ケイ、, や、, ク、",shaシャmonoものsomeone person8地chi jiチ、 ジground earth9業gyouギョウwazaわざbusiness vocation arts performance10
8,地,"ケイ、, や、, ク、",chi jiチ、 ジground earth9業gyouギョウwazaわざbusiness vocation arts performance10方houホウkataかたdirection perso
9,業,"ケイ、, や、, ク、",gyouギョウwazaわざbusiness vocation arts performance10方houホウkataかたdirection person alternative11新shinシンat
10,方,"ケイ、, や、, ク、",houホウkataかたdirection person alternative11新shinシンatara(shii) ara(ta)あたら(しい)、 あら(た)new12場jouジョウbaばloca
11,新,"ケイ、, や、, ク、",shinシンatara(shii) ara(ta)あたら(しい)、 あら(た)new12場jouジョウbaばlocation place13員inインemployee member number th
12,場,"ケイ、, や、, ク、",jouジョウbaばlocation place13員inインemployee member number the one in charge14立ritsuリツta(tsu)た(つ)stand up 
13,員,"ケイ、, や、, ク、",inインemployee member number the one in charge14立ritsuリツta(tsu)た(つ)stand up rise15開kaiカイhira(ku) a(ker
14,立,"ケイ、, や、, ク、",ritsuリツta(tsu)た(つ)stand up rise15開kaiカイhira(ku) a(keru)ひら(く)、 あ(ける)open unfold unseal16手shuシュteてhand
15,開,"ケイ、, や、, ク、",kaiカイhira(ku) a(keru)ひら(く)、 あ(ける)open unfold unseal16手shuシュteてhand17力ryoku rikiリョク、 リキchikaraちからpowe
16,手,"ケイ、, や、, ク、",shuシュteてhand17力ryoku rikiリョク、 リキchikaraちからpower strength strong strain bear up exert18問monモンto(u)と(う
17,力,"ケイ、, や、, ク、",ryoku rikiリョク、 リキchikaraちからpower strength strong strain bear up exert18問monモンto(u)と(う)question ask p
18,問,"ケイ、, や、, ク、",monモンto(u)と(う)question ask problem19代daiダイka(wari)か(わり)substitute change convert replace period20明me
19,代,"ケイ、, や、, ク、",daiダイka(wari)か(わり)substitute change convert replace period20明mei myouメイ、 ミョウaka(rui)あか(るい)bright lig
20,明,"ケイ、, や、, ク、",mei myouメイ、 ミョウaka(rui)あか(るい)bright light21動douドウugo(ku)うご(く)move motion change22京kyou kei kinキョウ、 キ
21,動,"ケイ、, や、, ク、",douドウugo(ku)うご(く)move motion change22京kyou kei kinキョウ、 キンmiyakoみやこcapital23目moku bokuモク、 ボクmeめeye cl
22,京,"ケイ、, や、, ク、",kyou kei kinキョウ、 キンmiyakoみやこcapital23目moku bokuモク、 ボクmeめeye class look insight experience24通tsuuツウto
23,目,"や、, ク、, から、",moku bokuモク、 ボクmeめeye class look insight experience24通tsuuツウtoo(ru) kayo(u)とお(る)、かよ(う)traffic pass t
24,通,"や、, ク、, から、",tsuuツウtoo(ru) kayo(u)とお(る)、かよ(う)traffic pass through avenue commute25言gen gonゲン、 ゴンi(u) kotoい（う）、 こと
25,言,"や、, ク、, から、",gen gonゲン、 ゴンi(u) kotoい（う）、 ことsay word26理riリlogic arrangement reason justice truth27体taiタイkaradaからだb
26,理,"や、, ク、, から、",riリlogic arrangement reason justice truth27体taiタイkaradaからだbody substance object reality28田denデンtaたri
27,体,"や、, ク、, から、",taiタイkaradaからだbody substance object reality28田denデンtaたrice field rice paddy29主shuシュnushi omoぬし、 おもlo
28,田,"や、, ク、, から、",denデンtaたrice field rice paddy29主shuシュnushi omoぬし、 おもlord chief master main thing principal30題daiダイto
29,主,"や、, ク、, から、",shuシュnushi omoぬし、 おもlord chief master main thing principal30題daiダイtopic subject31意iイidea mind heart 
30,題,"や、, ク、, から、",daiダイtopic subject31意iイidea mind heart taste thought32不fu buフ、 ブnegative non- bad33作saku saサク、 サtsuk
30,題,"や、, ク、, から、",daiダイtopic subject31意iイidea mind heart taste thought32不fu buフ、 ブnegative non- bad33作saku saサク、 サtsuk
31,意,"や、, ク、, から、",iイidea mind heart taste thought32不fu buフ、 ブnegative non- bad33作saku saサク、 サtsuku(ru)つく(る)make produc
32,不,"や、, ク、, から、",fu buフ、 ブnegative non- bad33作saku saサク、 サtsuku(ru)つく(る)make production prepare build34用youヨウmochi(ir
33,作,"や、, ク、, から、",saku saサク、 サtsuku(ru)つく(る)make production prepare build34用youヨウmochi(iru)もち(いる)utilize business serv
34,用,"や、, ク、, から、",youヨウmochi(iru)もち(いる)utilize business service use employ35度do takuド、 タクtabi ta(i)たび、 た(い)degrees occ
35,度,"や、, ク、, から、",do takuド、 タクtabi ta(i)たび、 た(い)degrees occurrence time counter for occurrences36強kyou gouキョウ、 ゴウtsuyo
36,強,"や、, ク、, から、",kyou gouキョウ、 ゴウtsuyo(i)つよ(い)strong37公kouコウpublic prince official governmental38持jiジmo(tsu)も(つ)hold h
37,公,"や、, ク、, から、",kouコウpublic prince official governmental38持jiジmo(tsu)も(つ)hold have39野yaヤnoのplains field rustic civil
38,持,"や、, ク、, から、",jiジmo(tsu)も(つ)hold have39野yaヤnoのplains field rustic civilian life40以iイmo(tte)もっ(て)by means of becaus
39,野,"や、, ク、, から、",yaヤnoのplains field rustic civilian life40以iイmo(tte)もっ(て)by means of because in view of compared with
40,以,"や、, ク、, から、",iイmo(tte)もっ(て)by means of because in view of compared with41思shiシomo(u)おも(う)think42家kaカie ya uchiいえ、
41,思,"や、, ク、, から、",shiシomo(u)おも(う)think42家kaカie ya uchiいえ、 うちhouse home family professional expert43世sei seセイ、 セyoよgene
42,家,"や、, ク、, から、",kaカie ya uchiいえ、 うちhouse home family professional expert43世sei seセイ、 セyoよgeneration world society pu
43,世,"ク、, から、, あ(く)、",sei seセイ、 セyoよgeneration world society public44多taタoo(i)おお(い)many frequent much45正sei shouセイ、 ショウtad
44,多,"ク、, から、, あ(く)、",taタoo(i)おお(い)many frequent much45正sei shouセイ、 ショウtada(shii) masa(ni)ただ(しい)、 まさ(に)correct justice rig
45,正,"ク、, から、, あ(く)、",sei shouセイ、 ショウtada(shii) masa(ni)ただ(しい)、 まさ(に)correct justice righteous46安anアンyasu(i)やす(い)safe peac
