grammar_name_en,grammar_name_jp,meaning,how_to_use_html,example_1,example_2,source
ageku,あげく,Learn Japanese grammar: (ageku). Meaning: to end up; in the end; finally; after all ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (た form)</td><td rowspan=""2"">あげく（に）</td></tr><tr><td>Noun + の</td></tr></tbody></table>","Example #12時間も待たされたあげく、結局に試合は延期になった。hintromajiEnglish2じかんもまたされたあげく、けっきょくにしあいはえんきになった。2 jikan mo matasareta ageku, keekyoku ni shiai wa enki ni natta.After waiting for 2 hours, the match ended up being postponed.","Example #2毎日の残業のあげく、彼女は倒れて入院することになりました。hintromajiEnglishまいにちのざんぎょうのあげく、かのじょはたおれてにゅういんすることになりました。mainichi no zangyou no ageku, kanojo wa taorete nyuuin shita koto ni nari mashita.After working overtime everyday, she collapsed and was hospitalized.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%81%92%e3%81%8f-ageku-meaning/
aruiwa,あるいは,Learn Japanese grammar: (aruiwa). Meaning: or; either; maybe; perhaps; possibly ~. This grammar can be used to express 2 different meanings: Meaning 1) conjunction: [A]...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>あるいは</td><td>other option</td></tr></tbody></table>","Example #1今日中にファックス、あるいは、メールで送ってください。hintromajiEnglishきょうじゅうにファックス、あるいは、メールおくってください。kyoujuu ni fakkusu, aruiwa meeru de okutte kudasai.Please send it today via fax or mail.","Example #2ご注文は電話か、あるいはインターネットでお願いします。hintromajiEnglishごちゅうもんはでんわか、あるいはインターネットでおねがいします。gochuumon wa, aruiwa intaanetto de onegai shimasu.Please order either by phone or online.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%82%8b%e3%81%84%e3%81%af-aruiwa-meaning/
bakari,ばかり,"Learn Japanese grammar: (bakari). Meaning: about, approximately ~. This meaning only applies when used with a noun that indicates time or distance. For other nouns...","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun (indicates time or distance)</td><td>ばかり</td></tr></tbody></table>",Example #1彼女は30分ばかりベッドに横になった。hintromajiEnglishかのじょは30ぷんばかりベッドによこになった。kanojo wa 30 pun bakari beddo ni yoko ni natta.She lay in bed for about a half-hour.,"Example #2５分ばかりこの道を行けば、右手にその店があります。hintromajiEnglish５ふんばかりこのみちをいけば、みぎてにそのみせがあります。go fun bakari kono michi o ikeba, migite ni sono mise ga arimasu.If you continue on this road for about 5 minutes, that shop will be on your right.",https://jlptsensei.com/learn-japanese-grammar/n2-%e3%81%b0%e3%81%8b%e3%82%8a-bakari-meaning/
bakari da,ばかりだ,Learn Japanese grammar: (bakari da). Meaning: continue to (go in negative direction). This is based off of the N4 Grammar lesson: .,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary)</td><td>ばかりだ<br/>ばかりです</td></tr></tbody></table>",Example #1あの二人の関係は悪くなるばかりだ。hintromajiEnglishあのふたりのかんけいはわるくなるばかりだ。ano futari no kankei wa waruku naru bakari da.Their relationship just keeps getting worse.,Example #2物価は上がるばかりだ。hintromajiEnglishぶっかはあがるばかりだ。bukka wa agaru bakari da.Prices just keep going up and up.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b0%e3%81%8b%e3%82%8a%e3%81%a0-bakari-da-meaning/
bakari ka,ばかりか,Learn Japanese grammar: (bakari ka / bakarika). Meaning: not only… but also; as well as ~. This can be used to list either positive or...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (casual)</td><td rowspan=""4"">ばかりか</td></tr><tr><td>Noun</td></tr><tr><td>な-adjective + な</td></tr><tr><td>い-adjective</td></tr></tbody></table>","Example #1このマンションは狭いばかりか、暗いです。hintromajiEnglishこのマンションはせまいばかりか、くらいです。kono manshon wa semai bakari ka, kurai desu.This apartment is not only very small, it's also quite dark.","Example #2私は、漢字ばかりか、ひらがなもカタカナも書けません。hintromajiEnglishわたしは、かんじばかりか、ひらがなもかけません。watashi wa, kanji bakarika, hiragana mo katakana mo kakemasen.Not only can I not write kanji, but I can't even write hiragana or katakana.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%b0%e3%81%8b%e3%82%8a%e3%81%8b-bakari-ka-meaning/
bakari ni,ばかりに,Learn Japanese grammar: (bakari ni). Meaning: simply because; on account of~ (negative result). This is used to emphasize the reason why something negative happened.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (casual)</td><td rowspan=""4"">ばかりに</td></tr><tr><td>Noun (+ である)</td></tr><tr><td>な-adjective + な/である</td></tr><tr><td>い-adjective</td></tr></tbody></table>","Example #1お金がないばかりに、今度の旅行に行けなかった。hintromajiEnglishおかねがないばかりに、こんどのりょこうにいけなかった。okane ga nai bakari ni, kondo no ryokou ni ikenakatta.I wasn't able to go on this trip since I don't have any money.","Example #2ホラー映画を見たばかりに、怖くてなかなか寝られない。hintromajiEnglishホラーえいがをみたばかりに、こわくてなかなかねられない。horaa eiga o mita bakari ni, kowakute nakanaka nerarenai.I watched a horror movie, which was really scary and now I can't seem to fall asleep.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%b0%e3%81%8b%e3%82%8a%e3%81%ab-bakari-ni-meaning/
chinamini,ちなみに,Learn Japanese grammar: 因みに 【】 (chinamini). Meaning: by the way; in this connection; incidentally; (conjunction).,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>ちなみに</td><td>phrase</td></tr></tbody></table>","Example #1これ、お土産だよ。ちなみにベトナムで買ったんだよ。hintromajiEnglishこれ、おみやげだよ。ちなみにベトナムでかったんだよ。kore, omiyage da yo. chinamini betonamu de katta nda yo.Here is a souvenir. I bought it in Vietnam by the way.","Example #2ちなみに、私のことを覚えていますか？hintromajiEnglishちなみに、わたしのことをおぼえていますか？chinamini, watashi no koto o oboete imasu ka?By the way, do you remember me?",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a1%e3%81%aa%e3%81%bf%e3%81%ab-chinamini-meaning/
chitto mo~nai,ちっとも～ない,Learn Japanese grammar: (chitto mo~nai). Meaning: (not) at all; (not) in the least ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>ちっとも</td><td>Verb (ない form)</td></tr></tbody></table>",Example #1彼は酒はちっとも飲まない。hintromajiEnglishかれはさけはちっとものまない。kare wa sake wa chitto mo nomanai.He doesn't drink any alcohol at all.,Example #2この商品はちっとも売れない。hintromajiEnglishこのしょうひんはちっともうれない。kono shouhin wa chitto mo urenai.This product does not sell at all.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a1%e3%81%a3%e3%81%a8%e3%82%82%ef%bd%9e%e3%81%aa%e3%81%84-chitto-monai-meaning/
dake atte,だけあって,Learn Japanese grammar: (dake atte). Meaning: being the case; precisely because; as expected from ~. This can also be used as だけのことはあって (dake no koto...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (casual)</td><td rowspan=""4"">だけあって<br/>だけのことはあって</td></tr><tr><td>Noun</td></tr><tr><td>な-adjective + な</td></tr><tr><td>い-adjective</td></tr></tbody></table>","Example #1このアパートは駅に近いだけあって、やっぱり家賃も高い。hintromajiEnglishこのアパートはえきにちかいだけあって、やっぱりやちんもたかい。kono apaato wa eki ni chikai dake atte, yappari yachin ga takai.This apartment is close to the station, so as expected the rent is expensive.","Example #2さすが大都会だけあって何かしら仕事がある。hintromajiEnglishさすがだいとかいだけあってなにかしらしごとがある。sasuga daitokai dake atte nanika shira shigoto ga aru.As expected of a big city, there is always work to do.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%91%e3%81%82%e3%81%a3%e3%81%a6-dake-atte-meaning/
dake mashi da,だけましだ,"Learn Japanese grammar: (dake mashi da). Meaning: it’s better than; one should feel grateful for ~. This means something is not necessarily good, but at...","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (casual)</td><td rowspan=""4"">だけましだ</td></tr><tr><td>Noun + である</td></tr><tr><td>な-adjective + な</td></tr><tr><td>い-adjective</td></tr></tbody></table>","Example #1今日は暑いが、湿度が高くないだけましだ。hintromajiEnglishきょうはあついが、しつどがたかくないだけましだ。kyou wa atsui ga, shitsudo ga takakunai dake mashi da.It's hot today, but I'm glad the humidity is low.",Example #2君は仕事があるだけましだよ。俺は首になってしまった。hintromajiEnglishきみはしごとがあるだけましだよ。おれはくびになってしまった。kimi wa shigoto ga aru dake mashida yo. ore wa kubi ni natte shimatta.You should be grateful for even having a job. I got fired.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%91%e3%81%be%e3%81%97%e3%81%a0-dake-mashi-da-meaning/
